Code poste;Nom poste;Fonction;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste
GUTEN;GUTEMBERG;POSTE DE TRANSFORMATION;EN EXPLOITATION;HORS TENSION;2.2037833333333334;48.90560555555555;48.9056055556, 2.20378333333
BISC6;BISCARRAT;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;4.5532055555555555;43.844033333333336;43.8440333333, 4.55320555556
CZBAI;COURBAISSE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;7.164047222222223;43.91986111111111;43.9198611111, 7.16404722222
SSRIV;ST-JEAN-LA-RIVIERE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;7.263916666666667;43.92343888888889;43.9234388889, 7.26391666667
SOULA;SOULAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-1.1150722222222222;45.5047;45.5047, -1.11507222222
SSOU5;ST-OUEN;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.3278916666666665;48.91063333333333;48.9106333333, 2.32789166667
ARRE5;ARREAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.36212777777777777;42.90918055555555;42.9091805556, 0.362127777778
FECAM;FECAMP;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.3984416666666667;49.75423055555556;49.7542305556, 0.398441666667
THILL;THILLOT (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.75305;47.88653333333333;47.8865333333, 6.75305
SSSAU;ST-SAUVES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.6870000000000003;45.61082777777778;45.6108277778, 2.687
MTREV;MONTREVEL;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.120466666666666;46.331836111111116;46.3318361111, 5.12046666667
1SSF5;ST-FONS /BELLE-ETOILE 10K;POSTE DE TRANSFORMATION;EN EXPLOITATION;<45kV;4.849494444444444;45.70227777777778;45.7022777778, 4.84949444444
SSVAL;ST-VALLIER;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.815902777777778;45.19781111111111;45.1978111111, 4.81590277778
GEISP;GEISPOLSHEIM;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;7.686897222222222;48.52469444444444;48.5246944444, 7.68689722222
TECH5;TECHNOCENTRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.0819111111111113;48.75698333333333;48.7569833333, 2.08191111111
CZELL;COURELLES (LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.677372222222222;47.819897222222224;47.8198972222, 1.67737222222
CHAT9;CHATRES;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;3.847166666666667;48.484425;48.484425, 3.84716666667
SSCOR;ST-ANDRE-DE-CORCY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.939530555555556;45.92349722222222;45.9234972222, 4.93953055556
JONQU;JONQUIERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;4.583324999999999;43.830075;43.830075, 4.583325
TRI.P;TRICASTIN-POSTE (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;4.713977777777778;44.32970277777778;44.3297027778, 4.71397777778
BERG9;BERGE;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-0.8727083333333333;43.836308333333335;43.8363083333, -0.872708333333
DAX;DAX;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-1.0391416666666669;43.726441666666666;43.7264416667, -1.03914166667
TUILI;TUILIERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;0.6358916666666666;44.84447222222222;44.8444722222, 0.635891666667
SSDAX;ST-PAUL-LES-DAX;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-1.0565416666666667;43.720508333333335;43.7205083333, -1.05654166667
TADEN;TADEN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-2.0576916666666665;48.49066111111111;48.4906611111, -2.05769166667
B.THI;BOURG-DE-THIZY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.2882444444444445;46.03572777777777;46.0357277778, 4.28824444444
AMPLE;AMPLEPUIS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.318530555555555;45.97934166666667;45.9793416667, 4.31853055556
CREPI;CREPIEUX;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.895566666666666;45.80544166666667;45.8054416667, 4.89556666667
CHAS5;CHASSE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.791908333333334;45.59323333333334;45.5932333333, 4.79190833333
